配置,方向,阶次,我们的振幅,Klingelnberg振幅,误差(%),预处理方法,预处理阶数,迭代次数
poly_order_1,left_profile,87,0.4493,0.1400,220.9,poly,1,10
poly_order_1,left_profile,174,0.3738,0.0500,647.6,poly,1,10
poly_order_1,left_profile,261,0.2777,0.0600,362.8,poly,1,10
poly_order_1,left_profile,348,0.1751,0.0300,483.5,poly,1,10
poly_order_1,left_profile,435,0.0852,0.0400,113.1,poly,1,10
poly_order_1,right_profile,87,0.2894,0.1500,92.9,poly,1,10
poly_order_1,right_profile,174,0.2459,0.0500,391.7,poly,1,10
poly_order_1,right_profile,261,0.1921,0.0600,220.1,poly,1,10
poly_order_1,right_profile,348,0.1333,0.0700,90.4,poly,1,10
poly_order_1,right_profile,435,0.0798,0.0300,166.1,poly,1,10
poly_order_1,left_helix,87,0.4907,0.1200,308.9,poly,1,10
poly_order_1,left_helix,89,0.0000,0.0700,100.0,poly,1,10
poly_order_1,left_helix,174,0.3425,0.0600,470.9,poly,1,10
poly_order_1,left_helix,261,0.3267,0.0500,553.4,poly,1,10
poly_order_1,left_helix,348,0.0000,0.0300,100.0,poly,1,10
poly_order_1,right_helix,87,0.6006,0.0900,567.3,poly,1,10
poly_order_1,right_helix,174,0.3469,0.1000,246.9,poly,1,10
poly_order_1,right_helix,261,0.2526,0.0500,405.3,poly,1,10
poly_order_1,right_helix,348,0.0000,0.0400,100.0,poly,1,10
poly_order_1,right_helix,435,0.0000,0.0300,100.0,poly,1,10
poly_order_2,left_profile,87,0.1458,0.1400,4.1,poly,2,10
poly_order_2,left_profile,174,0.0825,0.0500,65.0,poly,2,10
poly_order_2,left_profile,261,0.0331,0.0600,44.9,poly,2,10
poly_order_2,left_profile,348,0.0257,0.0300,14.3,poly,2,10
poly_order_2,left_profile,435,0.0499,0.0400,24.8,poly,2,10
poly_order_2,right_profile,87,0.1318,0.1500,12.1,poly,2,10
poly_order_2,right_profile,174,0.0782,0.0500,56.5,poly,2,10
poly_order_2,right_profile,261,0.0000,0.0600,100.0,poly,2,10
poly_order_2,right_profile,348,0.0000,0.0700,100.0,poly,2,10
poly_order_2,right_profile,435,0.0561,0.0300,87.1,poly,2,10
