方向,阶次,我们的振幅,Klingelnberg振幅,误差(%),状态,谐波类型
Left Profile (左齿形),87,0.1395,0.1400,0.4,✅ 优秀,ZE (基频)
Left Profile (左齿形),174,0.0012,0.0500,97.6,✗ 较大偏差,2×ZE (2次谐波)
Left Profile (左齿形),261,0.0001,0.0600,99.8,✗ 较大偏差,3×ZE (3次谐波)
Left Profile (左齿形),348,0.0001,0.0300,99.7,✗ 较大偏差,4×ZE (4次谐波)
Left Profile (左齿形),435,0.0001,0.0400,99.8,✗ 较大偏差,5×ZE (5次谐波)
Right Profile (右齿形),87,0.1421,0.1500,5.3,✅ 优秀,ZE (基频)
Right Profile (右齿形),174,0.0010,0.0500,98.0,✗ 较大偏差,2×ZE (2次谐波)
Right Profile (右齿形),261,0.0000,0.0600,100.0,✗ 较大偏差,3×ZE (3次谐波)
Right Profile (右齿形),348,0.0000,0.0700,100.0,✗ 较大偏差,4×ZE (4次谐波)
Right Profile (右齿形),435,0.0000,0.0300,100.0,✗ 较大偏差,5×ZE (5次谐波)
Left Helix (左齿向),87,0.1636,0.1200,36.3,⚠ 偏差,ZE (基频)
Left Helix (左齿向),89,0.0767,0.0700,9.6,✅ 优秀,ZE+2
Left Helix (左齿向),174,0.0007,0.0600,98.9,✗ 较大偏差,2×ZE (2次谐波)
Left Helix (左齿向),261,0.0001,0.0500,99.7,✗ 较大偏差,3×ZE (3次谐波)
Left Helix (左齿向),348,0.0001,0.0300,99.7,✗ 较大偏差,4×ZE (4次谐波)
Right Helix (右齿向),87,0.0829,0.0900,7.9,✅ 优秀,ZE (基频)
Right Helix (右齿向),174,0.0010,0.1000,99.0,✗ 较大偏差,2×ZE (2次谐波)
Right Helix (右齿向),261,0.0000,0.0500,100.0,✗ 较大偏差,3×ZE (3次谐波)
Right Helix (右齿向),348,0.0000,0.0400,99.9,✗ 较大偏差,4×ZE (4次谐波)
Right Helix (右齿向),435,0.0000,0.0300,99.9,✗ 较大偏差,5×ZE (5次谐波)
