配置,方向,阶次,我们的振幅,Klingelnberg振幅,误差(%),迭代次数
10次迭代, 全频段,left_profile,87,0.1743,0.1400,24.5,10
10次迭代, 全频段,left_profile,174,0.1099,0.0500,119.9,10
10次迭代, 全频段,left_profile,261,0.0500,0.0600,16.6,10
10次迭代, 全频段,left_profile,348,0.0000,0.0300,100.0,10
10次迭代, 全频段,left_profile,435,0.0477,0.0400,19.3,10
10次迭代, 全频段,right_profile,87,0.1791,0.1500,19.4,10
10次迭代, 全频段,right_profile,174,0.1166,0.0500,133.1,10
10次迭代, 全频段,right_profile,261,0.0523,0.0600,12.8,10
10次迭代, 全频段,right_profile,348,0.0000,0.0700,100.0,10
10次迭代, 全频段,right_profile,435,0.0534,0.0300,77.9,10
10次迭代, 全频段,left_helix,87,0.2047,0.1200,70.6,10
10次迭代, 全频段,left_helix,89,0.1005,0.0700,43.5,10
10次迭代, 全频段,left_helix,174,0.0573,0.0600,4.5,10
10次迭代, 全频段,left_helix,261,0.0000,0.0500,100.0,10
10次迭代, 全频段,left_helix,348,0.0000,0.0300,100.0,10
10次迭代, 全频段,right_helix,87,0.1037,0.0900,15.2,10
10次迭代, 全频段,right_helix,174,0.1128,0.1000,12.8,10
10次迭代, 全频段,right_helix,261,0.0951,0.0500,90.1,10
10次迭代, 全频段,right_helix,348,0.0000,0.0400,100.0,10
10次迭代, 全频段,right_helix,435,0.0000,0.0300,100.0,10
15次迭代, 全频段,left_profile,87,0.1743,0.1400,24.5,15
15次迭代, 全频段,left_profile,174,0.1099,0.0500,119.9,15
15次迭代, 全频段,left_profile,261,0.0500,0.0600,16.6,15
15次迭代, 全频段,left_profile,348,0.0000,0.0300,100.0,15
15次迭代, 全频段,left_profile,435,0.0477,0.0400,19.3,15
15次迭代, 全频段,right_profile,87,0.1791,0.1500,19.4,15
15次迭代, 全频段,right_profile,174,0.1166,0.0500,133.1,15
15次迭代, 全频段,right_profile,261,0.0523,0.0600,12.8,15
15次迭代, 全频段,right_profile,348,0.0000,0.0700,100.0,15
15次迭代, 全频段,right_profile,435,0.0534,0.0300,77.9,15
15次迭代, 全频段,left_helix,87,0.2047,0.1200,70.6,15
15次迭代, 全频段,left_helix,89,0.1005,0.0700,43.5,15
15次迭代, 全频段,left_helix,174,0.0573,0.0600,4.5,15
15次迭代, 全频段,left_helix,261,0.0000,0.0500,100.0,15
15次迭代, 全频段,left_helix,348,0.0000,0.0300,100.0,15
15次迭代, 全频段,right_helix,87,0.1037,0.0900,15.2,15
15次迭代, 全频段,right_helix,174,0.1128,0.1000,12.8,15
15次迭代, 全频段,right_helix,261,0.0951,0.0500,90.1,15
15次迭代, 全频段,right_helix,348,0.0000,0.0400,100.0,15
15次迭代, 全频段,right_helix,435,0.0000,0.0300,100.0,15
20次迭代, 全频段,left_profile,87,0.1743,0.1400,24.5,20
20次迭代, 全频段,left_profile,174,0.1099,0.0500,119.9,20
20次迭代, 全频段,left_profile,261,0.0500,0.0600,16.6,20
20次迭代, 全频段,left_profile,348,0.0193,0.0300,35.7,20
20次迭代, 全频段,left_profile,435,0.0477,0.0400,19.3,20
20次迭代, 全频段,right_profile,87,0.1791,0.1500,19.4,20
